id,type,val,vLB,vUB
'GLU5K_c.f','net',1.00E-07,0,10000000
'GLUDC_c.f','net',1.06E-07,0,10000000
'GLUDxi_c.f','net',0.454336702,0,10000000
'GLUDy_c.f','net',5.28861805,0,10000000
'GLUPRT_c.f','net',0.07278042,0,10000000
'GLUSx_c.f','net',-1.92E-07,0,10000000
'GLUt_c_m.f','net',0.629296266,0,10000000
'GLYCL_m.f','net',2.133397704,-10000000,10000000
'GLYCL_m.r','exc',1.00E-07,0,10000000
'GLYGS_c.f','net',0.090772491,0,10000000
'GLYOX_c.f','net',7.89E-09,0,10000000
'GLYt_c_m.f','net',3.322006162,-10000000,10000000
'GLYt_c_m.r','exc',2424023.623,0,10000000
'GMPS2_c.f','net',0.044036119,0,10000000
'GND_c.f','net',3.366781629,0,10000000
'GRTT_c.f','net',0.041364515,0,10000000
'H2Ot_c_e.f','net',24.04023734,0,10000000
'H2Ot_c_m.f','net',99.71013357,0,10000000
'HACNH_m.f','net',0.105516146,0,10000000
'HCITR_m.f','net',0.105516147,0,10000000
'HCITS_m.f','net',0.105516149,0,10000000
'HCO3E_c.f','net',2.016494328,0,10000000
'HCYSMT_c.f','net',1.00E-07,0,10000000
'HEX1_c.f','net',5.331769298,0,10000000
'HICITD_m.f','net',0.105516147,0,10000000
'HISTD_c.f','net',0.030996502,0,10000000
'HISTP_c.f','net',0.030996502,0,10000000
'HMGCOAR_c.f','net',0.124093543,0,10000000
'HMGCOAS_c.f','net',0.124093545,0,10000000
'HSDx_c.f','net',0.202350233,0,10000000
'HSDy_c.f','net',2.00E-07,0,10000000
'HSERTA_c.f','net',0.020557292,0,10000000
'HSK_c.f','net',0.181793141,0,10000000
'HSTPT_c.f','net',0.0309965,0,10000000
'Ht_c.f','net',2.776564393,0,10000000
'Ht_c_m.f','net',1.00E-07,0,10000000
'ICDHx_m.f','net',1.730561402,0,10000000
'ICDHyi_m.f','net',1.00E-07,0,10000000
'ICL_1_c.f','net',2.05E-07,0,10000000
'IG3PS_c.f','net',0.030996497,0,10000000
'IGPDH_c.f','net',0.0309965,0,10000000
'IGPS_c.f','net',0.612607984,0,10000000
'ILEt_c_m.f','net',0.094594961,0,10000000
'ILETA_m.f','net',0.094594962,0,10000000
'IMPC_c.f','net',0.103776929,0,10000000
'IMPD_c.f','net',0.044036123,0,10000000
'IPDDI_c.f','net',0.041364515,0,10000000
'IPMD_c.f','net',0.12864272,0,10000000
'IPPMIa_c.f','net',0.12864272,0,10000000
'IPPMIb_c.f','net',0.12864272,0,10000000
'IPPS_c.f','net',0.128642722,0,10000000
'KARA1i_m.f','net',0.24636464,0,10000000
'KARA2i_m.f','net',0.094594964,0,10000000
'Kt_c_e.f','net',0.233357098,0,10000000
'KYN_c.f','net',0.602168863,0,10000000
'LACPYRt_c_m.f','net',-0.136053324,-10000000,10000000
'LACPYRt_c_m.r','exc',100000000,0,10000000
'LACtps_m.f','net',0.136053347,0,10000000
'LALDO3_c.f','net',0.192581307,0,10000000
'LCADi_c.f','net',0.192581307,0,10000000
'LEUTA_c.f','net',0.128642713,0,10000000
'LGTHL_c.f','net',-3.20E-09,0,10000000
'LLFC2O_c.f','net',0.192581306,0,10000000
'LNS14DMy_c.f','net',0.02068226,0,10000000
'LNSTLS_c.f','net',0.020682258,0,10000000
'lumpFACOA160_c.f','net',0.060367075,0,10000000
'lumpFACOA180_c.f','net',0.048817883,0,10000000
'lumpFACOA200_c.f','net',0.005799317,0,10000000
'lumpFACOA220_c.f','net',0.005799317,0,10000000
'lumpFACOA240_c.f','net',0.004742469,0,10000000
'lumpFACOA260_c.f','net',0.001000464,0,10000000
